	A	Coef	t	P.value	F	F.p.value	Results	genes
g13079	1.90743227396564	1.32378653020829	1.52387851582396	0.0697580285304878	38.8167394478661	1.31611771612833e-06	0	g13079
g1308	5.59204049474213	-1.54811437915121	-3.87487502421431	0.000320237952822904	119.778562783825	2.84570295604741e-11	-1	g1308
g13080	-1.03062730556979	-0.709644825731838	0	0.763578575924921	3.16592834547626	0.0867909632783803	0	g13080
g13081	4.64785016075324	-0.0905230047261902	0	1	5.04063995017448	0.0334134168304778	0	g13081
g13082	1.31051360495847	0.683993800416763	0	0.845021211521751	5.02209968363683	0.0337129794593375	0	g13082
g13083	7.52517201042294	0.21203488194245	0	0.999999999999997	18.3549880974499	0.00021894206868541	0	g13083
g13084	6.11254433985494	-0.372108169618829	0	0.999990723568498	9.55764924837275	0.00468095080600386	0	g13084
g13085	1.50671681649233	-0.295957678351063	0	0.99994310102114	3.62915399936655	0.0678041191396493	0	g13085
g13086	1.68144121523772	1.07573141819846	0.377718194894345	0.354340881072839	28.7866639145222	1.25323753183632e-05	0	g13086
g13087	5.7313986911014	-0.84777503920813	0	0.985549803039578	165.770161993568	7.68093441266338e-13	0	g13087
g13088	2.58129515889886	-4.2923834226631	-6.57223472249009	2.75063659407078e-07	73.4179639458818	4.46655631536813e-09	-1	g13088
g13089	1.47006679439481	0.818157658875052	0	0.617924037555645	1.75262902007886	0.196978252473019	0	g13089
g1309	2.02894653746153	-0.685134172712242	0	0.999588899097572	67.6051213133808	9.92013847464959e-09	0	g1309
g13090	3.40237464274445	-5.93844205654758	-7.53628377035744	2.52856291992998e-08	82.1257989331033	1.47063861255055e-09	-1	g13090
g13091	0.365655077650627	1.29186291211429	1.0061703606141	0.16176677122164	19.8343547967685	0.000139986754078077	0	g13091
g13092	4.98364512362214	-0.654772292524936	0	0.999998999418491	132.438474341923	9.494112546865e-12	0	g13092
g13093	-0.521326213952255	-4.83454504439571	-6.86548518869484	1.31513325454868e-07	74.9248709360997	3.66007050812416e-09	-1	g13093
g13094	1.84843659250835	-1.7469503794214	-5.61990860048594	3.20952198453588e-06	172.757193171114	4.79582061042821e-13	-1	g13094
